q_id,subject,split,question,translate_question,choice_A,translate_choice_A,choice_B,translate_choice_B,choice_C,translate_choice_C,choice_D,translate_choice_D,answer
51,international_law,test,How are the members of the arbitral tribunal appointed?,"Je, wajumbe wa mahakama ya usuluhishi wanateuliwaje?",All the members of the arbitral tribunal are appointed by the parties,Wajumbe wote wa mahakama ya usuluhishi huteuliwa na wahusika,All the members of the arbitral tribunal are appointed by the parties,Wajumbe wote wa mahakama ya usuluhishi huteuliwa na wahusika,"All the members of the arbitral tribunal are appointed by an impartial third party, such as the president of the ICJ","Wanachama wote wa mahakama ya usuluhishi huteuliwa na mtu wa tatu asiye na upendeleo, kama vile rais wa ICJ",All the members of the arbitral tribunal are appointed by the parties from a restricted list of arbitrators,Wanachama wote wa mahakama ya usuluhishi huteuliwa na wahusika kutoka kwa orodha ya wasuluhishi iliyodhibitiwa,A
53,international_law,test,What is the constitutive theory of recognition?,Nadharia ya msingi ya utambuzi ni gani?,Recognition is determinative of statehood,Utambuzi ni uamuzi wa hali ya serikali,Recognition requires constitutional approval by third nations,Utambuzi unahitaji idhini ya kikatiba kutoka kwa mataifa ya tatu,Recognition requires that the constitution of the recognised State includes sufficient human rights guarantees,Utambuzi unahitaji kwamba katiba ya Nchi inayotambulika ijumuishe dhamana za kutosha za haki za binadamu,Countries wishing to be recognised must possess a valid constitution,Nchi zinazotaka kutambuliwa lazima ziwe na katiba inayofaa,A
54,international_law,test,The enforcement mechanism of the International Covenant on Civil and Political Rights (and Protocol) consists of,Utaratibu wa utekelezaji wa Mkataba wa Kimataifa wa Haki za Kiraia na Kisiasa (na Itifaki) unajumuisha,A reporting mechanism only,Utaratibu wa kuripoti pekee,Judgment of an international tribunal,Hukumu ya mahakama ya kimataifa,Right to individual petition only,Haki ya ombi binafsi tu,A reporting mechanism and right to individual petition,Utaratibu wa kuripoti na haki ya ombi la mtu binafsi,D
56,international_law,test,What are self-executing treaties?,Mikataba ya kujitekeleza ni nini?,Self-executing treaties are adopted only by the executive,Mikataba ya kujitekeleza huidhinishwa tu na mamlaka ya utendaji,Self-executive treaties are clear and precise enough so as not to require any further implementing measures,Mikataba ya kujitegemea iko wazi na sahihi vya kutosha kiasi cha kutohitaji hatua zozote za utekelezaji,Self-executing rely on implementing measures stipulated in the treaty Itself,Kujitekeleza kutegemea hatua za utekelezaji zinazotolewa katika mkataba wenyewe,Self-executing treaties follow the doctrine of transformation,Mikataba ya kujitegemea inafuata kanuni muhimu ya mabadiliko,B
57,international_law,test,"Is the ICJ hostile to the idea that an armed attack may arise through a series of lower intensity, yet cumulative, instances of armed force?","Je, ICJ inapinga wazo la kwamba shambulio lenye silaha laweza kutokea kupitia mfululizo wa vitendo vya silaha vyenye nguvu ndogo, lakini vinavyoongezeka?",The ICJ was not hostile to the accumulation theory,ICJ haikuwa na uhasama wowote kwa nadharia ya mkusanyiko,"The concept of an armed attack refers to a single attack, not multiple smaller instances of armed force","Dhana ya shambulio la silaha inahusu shambulio moja, sio matukio mengi madogo ya nguvu ya silaha",In the Nicaragua case the ICJ dismissed the accumulation theory,Katika kesi ya Nikaragua ICJ alikataa nadharia mkusanyiko,The ICJ has never addressed this issue,ICJ haijawahi kushughulikia suala hili,A
58,international_law,test,Is there any priority among international courts and tribunals?,"Je, kuna kipaumbele chochote kati ya korti na mahakama za kimataifa?","According to the lis pendens rule, the court or the tribunal that seizes first the dispute has exclusive jurisdiction to adjudicate it","Kulingana na sheria ya lis pendens, mahakama au mahakama inayochukua kwanza mzozo huo ina mamlaka ya kipekee ya kuuhukumu",The International Court of Justice has by definition priority over any other court or tribunal,Mahakama ya Kimataifa ya Haki kwa ufafanuzi ina kipaumbele juu ya korti au mahakama nyingine yoyote,"Since there is no lis pendens rule in international law and all depends on the consent of the parties to a dispute, there is no priority or hierarchy among international courts and tribunals","Kwa kuwa hakuna sheria ya lis pendens katika sheria za kimataifa na yote inategemea idhini ya wahusika kwenye mzozo, hakuna kipaumbele au uongozi kati ya korti za kimataifa na mahakama ",Regional or special courts have priority over all others in line of the principle of lex specialis,Mahakama za kikanda au maalum zina kipaumbele juu ya wengine wote kulingana na kanuni ya lex specialis,C
59,international_law,test,Do third States enjoy any fishing rights within the Exclusive Economic Zone of another State?,"Je, Mataifa ya tatu yanafurahia haki zozote za uvuvi ndani ya Eneo la Kiuchumi la Kipekee la Jimbo lingine?","When the coastal State cannot harvest the 'total allowable catch', the coastal State is to give other State access to that surplus with priority to be given to developing and land-locked States","Wakati Jimbo la pwani haliwezi kuvua 'jumla ya samaki wanaoruhusiwa', Jimbo la pwani linapaswa kuipa Jimbo lingine ufikiaji wa samaki wa ziada huku kipaumbele kikipewa Nchi zinazoendelea na nchi kavu",Third States may never have access to fisheries within another State's EEZ,Nchi za tatu huenda zisiweze kuwa na ufikiaji wa uvuvi ndani ya EEZ ya Jimbo lingine,The coastal State is to give access to fisheries within its EEZ only to neighbouring States,Jimbo la pwani linapaswa kutoa ufikiaji wa uvuvi ndani ya EEZ yake kwa Mataifa jirani peke yao,"Third States are free to fish within another EEZ, except from certain designated areas","Mataifa ya Tatu yana uhuru wa kuvua ndani ya EEZ nyingine, isipokuwa kutoka maeneo fulani yaliyotengwa",A
60,international_law,test,What is the purpose of sovereign immunity?,Kusudi la kinga huru ya kisheria ni gani?,The purpose of immunity is to protect foreign Heads of State from embarrassment,Lengo la kinga ya kisheria ni kuwalinda Viongozi wa Nchi za kigeni dhidi ya aibu,Immunity protects a State from being invaded by another,Kinga ya kisheria huilinda Serikali isiingiliwe na serikali nyingine,Immunity shields States from being sued in the courts of other States,Kinga ya kisheria inalinda Mataifa dhidi ya kushtakiwa katika mahakama za Mataifa mengine,The purpose of immunity is to offer impunity in respect of all crimes,Kusudi la kinga ya kisheria ni kutoa adhabu kwa ajili ya uhalifu wote,C
61,international_law,test,What is passive personality jurisdiction?,Mamlaka ya haiba tulivu ni nini?,It is jurisdiction based on the nationality of the offender,Ni mamlaka kulingana na utaifa wa mkosaji,It is jurisdiction based on where the offence was committed,Ni mamlaka kulingana na mahali ambapo kosa lilifanyikia,It is jurisdiction based on the nationality of the victims,Ni mamlaka kulingana na utaifa wa wahasiriwa,It is jurisdiction based on the country where the legal person was Registered,Ni mamlaka kulingana na nchi ambapo mtu wa kisheria alisajiliwa,C
62,international_law,test,Which of the following types of rights have been described as first generation rights?,Ni aina gani ya haki zifuatazo zimeelezwa kama haki za kizazi cha kwanza?,Social and economic rights,Haki za kijamii na kiuchumi,Civil and political rights,Haki za kiraia na kisiasa,Cultural rights,Haki za kitamaduni,People's rights,Haki za watu,B
63,international_law,test,What is the problem of 'fragmentation' of international law?,Tatizo la 'kugawanyika' kwa sheria ya kimataifa ni gani?,Fragmentation of international law concerns the possibility of different legal regimes apply the same rules of international law,Kugawanyika kwa sheria ya kimataifa kunahusu uwezekano wa mifumo tofauti ya kisheria kutumia kanuni sawa ya sheria ya kimataifa,"It is possible for several legal regimes (ie foreign investment law and human rights law) to exist and develop in isolation of each other, ultimately culminating in the production of divergent rules of international law","Inawezekana kwa mifumo kadhaa ya kisheria (yaani sheria ya uwekezaji wa kigeni na sheria ya haki za binadamu) kuwepo na kuendeleza kwa kutengwa, hatimaye kuishia katika uzalishaji wa sheria tofauti za sheria ya kimataifa",Fragmentation is when States assume different interpretations of the same rule of international law,Kugawanyika ni wakati Mataifa yanachukua tafsiri tofauti za kanuni noja ya sheria ya kimataifa,Fragmentation is when States disagree to abide by a certain rule of international law,Kugawanyika ni wakati Mataifa hayakubaliani kutii kanuni fulani ya sheria za kimataifa,B
65,international_law,test,What is the meaning of implied authorisation?,Nini maana ya idhini iliyodokezwa?,Presumption of Security Council approval of armed force when a State has been forewarned,Kuchukuliwa kwa idhini ya Baraza la Usalama la jeshi wakati serikali imeonywa mapema,Implicit authorisation on the basis of a specific number of votes by UNSC members,Uidhinishaji dhahiri kwa misingi ya idadi maalum ya kura za wanachama wa UNSC,Presumption that all unlawful attacks will be subject to armed force by a resolution of the UNSC,Dhana kwamba mashambulizi yote yasiyo halali yatakuwa chini ya jeshi kwa azimio la UNSC,In cases of repeated unlawful attacks the UNSC shall authorise neighbouring States to take whatever measures they deem necessary to rectify the situation,Katika visa vya mashambulizi ya mara kwa mara kinyume cha sheria UNSC itaidhinisha Mataifa jirani kuchukua hatua zozote wanazoona ni muhimu kurekebisha hali hiyo,A
66,international_law,test,Which philosopher called the idea of natural rights 'nonsense on stilts'?,Mwanafalsafa yupi aliyeita wazo la haki za asili 'upuuzi juu ya nguzo'?,Alan Gerwith,Alan Gerwith,Emmanuel Kant,Emmanuel Kant,John Locke,John Locke,Jeremy Bentham,Jeremy Bentham,D
67,international_law,test,Who has the authority to conclude a treaty on the part of States?,Nani ana mamlaka ya kuhitimisha mkataba kwa upande wa Mataifa?,"Treaties are concluded by the competent representatives of States. Heads of States, heads of governments, ministers of foreign affairs and heads of diplomatic missions are presumed to have such authority","Mikataba inahitimishwa na wawakilishi wenye uwezo wa Mataifa. Viongozi wa Nchi, viongozi wa serikali, mawaziri wa mambo ya nje na viongozi wa misheni za kidiplomasia wanachukuliwa kuwa na mamlaka hayo",Treaties may only negotiated and concluded by the heads of State and ministers of foreign affairs,Mikataba inaweza tu kujadiliwa na kuhitimishwa na viongozi wa Nchi na mawaziri wa mambo ya nje,Treaties are negotiated and signed only by the persons that bear the necessary 'full powers' and no person is presumed to hold such authority,Mikataba inajadiliwa na kutiwa saini tu na watu ambao wana 'mamlaka kamili' muhimu na hakuna mtu anayechukuliwa kuwa na mamlaka kama hayo,Treaties are concluded only by members of the diplomatic missions of States,Mikataba inahitimishwa tu na wanachama wa misheni za kidiplomasia za Mataifa,A
68,international_law,test,Who is a 'persistent objector'?,Mpinzani mkakamavu' ni yupi?,The State which persistently objects to the rule in question after its formation,Serikali ambayo inaendelea kupinga sheria husika baada ya kuundwa kwake,The State which denies to be bound by the rule in question for a short period,Serikali ambayo inakanusha kufungwa na sheria inayohusika kwa muda mfupi,The State which persistently and publicly objects to the formation of a rule of customary law from its outset,Serikali inayoendelea kupinga kihadharani kuundwa kwa sheria ya kimila tangu mwanzo,The State which accepts the formation of a rule of customary law but it retains objections as to its content,Serikali ambayo inakubali kuundwa kwa kanuni ya sheria za kimila lakini inaendelea kupinga kuhusu yaliyomo,C
69,international_law,test,What is the meaning of collective security?,Maana ya usalama wa pamoja ni gani?,The right to self-defence by more than one nation acting in concert,Haki ya kujilinda kwa mataifa zaidi ya moja yanayofanya kazi kwa pamoja,The right of one's allies to defend the victim State,Haki ya washirika wa mtu kutetea Jimbo athirika,The authorisation of armed force by the UN Security Council,Kuidhinishwa kwa jeshi na Baraza la UN,The authorisation of peacekeeping missions by the UN General Assembly,Uidhinishaji wa misheni za kulinda amani na Baraza Kuu la UN,C
70,international_law,test,The European Convention on Human Rights is predominantly concerned with which of the following?,Mkataba wa Ulaya wa Haki za Kibinadamu unahusika zaidi na ni ipi kati ya yafuatayo?,Economic and social rights,Haki za kiuchumi na za kijamii,Environmental rights,Haki za mazingira,Civil and political rights,Haki za kiraia na za kisiasa,Economic freedom,Uhuru wa kiuchumi,C
71,international_law,test,Is the jurisdiction of international tribunals regulated by the same principles applicable to national courts?,"Je, mamlaka ya mahakama za kimataifa yanadhibitiwa na kanuni zilezile zinazotumika kwa mahakama za kitaifa?",The jurisdictional principles applicable to national courts are also common to international tribunals,Kanuni za mamlaka zinazotumika kwa mahakama za kitaifa pia zinalingana na za mahakama za kimataifa,The jurisdiction of all international tribunals is regulated by the UN Security Council,Mamlaka ya mahakama zote za kimataifa yanadhibitiwa na Baraza la Usalama la UN,"International tribunals share some, but not all, of the jurisdictional principles applicable to national courts","Mahakama za kimataifa zina baadhi ya kanuni sawa za mamlaka zinazotumika kwa mahakama za kitaifa, lakini si zote",The jurisdiction of international tribunals is dictated solely by their founding treaties,Mamlaka ya mahakama za kimataifa yanaamriwa tu na mikataba yao ya anzilishi,D
72,international_law,test,What is the meaning of collective rights?,Nini maana ya haki za pamoja?,Collective rights belong to distinct groups of people,Haki za pamoja huwa ni za vikundi tofauti vya watu,Collective rights are those that belong to particular groups as opposed to the individual members of the group,Haki za pamoja ni zile ambazo ni za vikundi fulani tofauti na wasnachama binafsi wa kikundi,Minority rights are collective rights,Haki za wachache ni haki za pamoja,Collective rights entail a right of the group as such as well as individual rights of the group's members,Haki za pamoja zinajumuisha haki ya kikundi pamoja na haki za mtu binafsi za wanachama wa kikundi,B
73,international_law,test,Are States under any obligation when they conduct negotiations?,"Je, Mataifa yako chini ya wajibu wowote yanapofanya mazungumzo?",States are under no obligation as to how they conduct their negotiation,Mataifa hayana wajibu wowote kuhusu jinsi yanavyofanya mazungumzo yao,States are under an obligation so to conduct themselves that the negotiations are meaningful,Mataifa yako chini ya wajibu wa kujiendesha ili mazungumzo yawe ya maana,States are under an obligation to find a solution of the dispute whenever they conduct negotiations,Mataifa yako chini ya wajibu wa kutafuta suluhu la mzozo wakati wowote yanapofanya mazungumzo,States are under an obligation to inform the UN Secretary-General about the progress of their negotiations,Mataifa yako chini ya wajibu wa kumfahamisha Katibu Mkuu wa UN kuhusu maendeleo ya mazungumzo yao,B
74,international_law,test,What is the major difference between naturalism and positivism?,Kuna tofauti gani kubwa kati ya kufuata mambo ya asili na kufuata mambo chanya?,"On the one hand, naturalism is based on a set of rules that are of universal and objective scope and on the other hand, positivism is based on a structured and coherent legal system that is created by States in light of their interests and desires","Kwa upande mmoja, uasilia unatokana na seti ya sheria ambazo zina lengo na upeo wa ulimwengu wote na kwa upande mwingine, uchanya unategemea mfumo wa kisheria thabiti uliopangwa na ambao umeundwa na Mataifa kwa kuzingatia maslahi na matakwa yao","While naturalism serves only the theory human rights law, positivism has a wider and more general scope","Ingawa uasilia unatumikia tu nadharia ya sheria ya haki za binadamu, uchanya una wigo mpana na wa jumla zaidi","Naturalism concerns the underpinning values of the international society, while positivism the international rules as such","Uasilia unahusu maadili ya msingi ya jamii ya kimataifa, ilhali uchanya unahusu sheria za kimataifa","Naturalism is a school of thought advocated outside of Europe, while positivism is Euro-centric theory","Uasilia ni shule ya mawazo inayotetewa nje ya bara la Ulaya, ilhali uchanya ni nadharia inayozingatia utamaduni wa Ulaya",A
75,international_law,test,What is an 'internationally wrongful conduct'?,Mwenendo wa kimataifa usio sahihi' ni nini?,An international wrongful conduct is an action or omission which is in breach of a rule of international criminal law,Mwenendo usio sahihi wa kimataifa ni utendaji au ukosaji kutenda jambo ambalo ni ukiukaji wa sheria ya kimataifa ya uhalifu,"An international wrongful conduct is every breach of an international obligation of the State, whether attributable to it or not","Mwenendo usio sahihi wa kimataifa ni kila ukiukaji wa wajibu wa kimataifa wa Serikali, iwe unahusishwa nayo au la","An internationally wrongful conduct consists of an action or omission attributable to the State, which constitutes a breach of an international obligation of the State","Mwenendo usio sahihi wa kimataifa unajumuisha kitendo au kutotenda kunakohusishwa na Serikali, jambo ambalo linajumuisha ukiukaji wa wajibu wa kimataifa wa Serikali","An internationally wrongful conduct is the conduct that cannot be excused on grounds of necessity, force majeure etc.","Mwenendo usio sahihi wa kimataifa ni mwenendo ambao hauwezi kusamehewa kwa misingi ya lazima, nguvu kubwa n.k.",C
76,international_law,test,What is the effects doctrine?,"Je, athari ya kanuni moja muhimu ni nini?",It posits that jurisdiction exists only when it is effective,Inasisitiza kuwa mamlaka yapo tu wakati yanafaa,The effects doctrine serves to confer jurisdiction on the State which has an effective link with the harmful conduct,Athari ya kanuni muhimu hutumika kutoa mamlaka kwa Serikali ambayo ina uhusiano mzuri na mwenendo mbaya,The effects doctrine serves to confer jurisdiction on the State sharing the nationality of the offender,Athari ya kanuni muhimu hutumika kutoa mamlaka kwa Serikali inayoshiriki utaifa wa mkosaji,The effects doctrine serves to confer jurisdiction to the State on whose territory the conduct produces effects,Athari ya kanuni muhimu hutumika kutoa mamlaka ya mahakama kwa serikali ambayo mwenendo wa eneo lake una athari,D
77,international_law,test,Which persons are considered as 'de facto' organs of the State under the law of international responsibility?,Ni watu gani wanachukuliwa kuwa sehemu ya 'de facto' vya Serikali chini ya sheria ya uwajibikaji wa kimataifa?,De facto organs' are the individuals that are empowered by law to exercise elements of governmental authority,De facto' ni watu ambao wamepewa mamlaka na sheria kutekeleza vipengele vya mamlaka ya kiserikali,"De facto organs' are the persons, which are, in fact, acting on the instructions of, or under the direction or control of, that State in carrying out the conduct attributable to the State","De facto' ni watu ambao kwa kweli wanatenda kulingana na maagizo ya, au chini ya uongozi au udhibiti wa Serikali hio katika kutekeleza mwenendo unaohusishwa na Serikali",De facto organs' are the de jure organs of the State that act without due authority or ultra vires,De facto' ni viungo vya serikali ambavyo hufanya kazi bila mamlaka inayostahili au kwa nguvu za hali ya juu,"De facto organs' are the organs, whose acts or omission cannot be attributed to the State",De facto' ni viungo ambavyo kuwepo kwa sheria zilizopendekezwa au kutokuwepo kwake hakuwezi kuhusishwa na Serikali,B
78,international_law,test,What is the fundamental prerequisite for the incorporation of custom under English law?,"Je, ni sharti gani la msingi linahitajika ili kuingizwa kwa desturi chini ya sheria ya Kiingereza?",Custom is incorporated if it is not in conflict with existing legislation,Desturi inajumuishwa ikiwa haipingani na sheria iliyopo,Custom is superior to English law and is always incorporated,Desturi ni bora kuliko sheria ya Kiingereza na inajumuishwa kila wakati,Custom must first be recognised by Parliament before the courts can bring it into the domestic sphere,Desturi lazima kwanza itambuliwe na Bunge kabla ya mahakama kuileta katika nyanja ya ndani,Custom is incorporated with the passing of implementing legislation,Desturi inajumuishwa na kupitishwa kwa sheria ya utekelezaji,A
79,international_law,test,Was the use of armed force permitted prior to the United Nations Charter?,"Je, matumizi ya jeshi yaliruhusiwa kabla ya Mkataba wa UN?",Armed force was prohibited,Jeshi lilipigwa marufuku,Armed force was permitted with no restrictions,Jeshi liliruhusiwa bila vikwazo,Armed force was permitted subject to few restrictions,Jeshi liliruhusiwa chini ya masharti machache,Armed force was not regulated under international law prior to 1945,Jeshi halikudhibitiwa chini ya sheria za kimataifa kabla ya 1945,C
80,international_law,test,What is the protective principle of jurisdiction?,Kanuni ya ulinzi ya mamlaka ni nini?,It is jurisdiction based on the harm to national interests by conduct committed abroad,Ni mamlaka kulingana na madhara kwa maslahi ya taifa kwa mwenendo unaofanywa nje ya nchi,It is jurisdiction in order to protect one's nationals abroad,Ni mamlaka yanayolinda uraia wa mtu nje ya nchi,It is jurisdiction in order to protect international human rights,Ni mamlaka yanayolinda haki za binadamu za kimataifa,It is jurisdiction based on the nationality of the offender,Ni mamlaka kulingana na utaifa wa mkosaji,A
81,international_law,test,Which one of the following statements is correct?,Ni kauli gani kati ya zifuatazo ndiyo sahihi?,The Council of Europe was established in 1950 and consists of 27 member states,Baraza la Ulaya lilianzishwa mwaka 1950 na lina nchi 27 kama wanachama ,The Council of Europe was established in 1949 and consists of 47 member states,Baraza la Ulaya lilianzishwa mwaka 1949 na lina nchi 47 kama wanachama,The Council of Europe was established in 1959 and consists of 34 member states,Baraza la Ulaya lilianzishwa mwaka 1959 na lina nchi 34 kama wanachama,The Council of Europe was established in 1984 and consists of 19 member states,Baraza la Ulaya lilianzishwa mwaka 1984 na lina nchi 19 kama wanachama,B
82,international_law,test,What is the 'equitable result' in the law and practice of maritime delimitation?,"Je, 'matokeo ya usawa' ni nini katika sheria na mazoezi ya kuweka mipaka ya baharini?",It is the only method of delimitation that international courts and tribunals follow,Ni njia pekee ya kuweka mipaka ambayo mahakama na mahakama za kimataifa hufuata,"An equitable result is what a judge or the arbitrator would decide ex aequo et bono, i.e. upon their discretion and in light of what they consider as fair and equitable in a delimitation case","Matokeo ya usawa ni yale ambayo hakimu au msuluhishi angeamua ex aequo et bono, yaani kwa hiari yao na kwa kuzingatia kile wanachokiona kuwa cha haki na usawa katika kesi ya kuweka mipaka","It is the end result that all delimitations of areas of continental shelf and EEZ should achieve, after, however, drawing a provisional 'equidistance line' and adjusting the zone in the light of the relevant circumstances and the proportionality test.","Ni matokeo ya mwisho kwamba uwekaji mipaka wote wa maeneo ya rafu ya bara na EEZ unapaswa kufikia, baada ya, hata hivyo, kuchora 'mstari wa usawa' wa muda na kurekebisha eneo kwa kuzingatia hali husika na mtihani wa uwiano.",Achieving an equitable result is an old method of delimitation which is currently not applicable,Kufikia matokeo ya usawa ni njia ya zamani ya kuweka mipaka ambayo haitumiki kwa sasa,C
83,international_law,test,What is a derogation?,Mshushio ni nini?,Derogations are exemptions from particular human rights obligations contained in a treaty,Mshushio ni misamaha kutoka kwa majukumu fulani ya haki za binadamu yaliyomo katika mkataba,A derogation refers to the ability of rights holders to bring a claim against the State for breach of an obligation,Mshushio unarejelea uwezo wa wenye haki kuleta madai dhidi ya Serikali kwa kukiuka wajibu,A State may suspend particular rights by means of a derogation in circumstances that threaten its existence,Serikali inaweza kusimamisha haki fulani kwa njia ya mshushio katika hali zinazotishia kuwepo kwake,Derogations are enforcement clauses in human rights treaties,Mshushio ni uwepo wa vifungu vya utekelezaji katika mikataba ya haki za binadamu,C
85,international_law,test,What is the meaning of cultural relativism?,Ni nini maana ya ukilinganishwaji wa kitamaduni?,Culture relativism posits that human rights apply equally to all without restrictions,Ukilinganishwaji wa kitamaduni unasisitiza kwamba haki za binadamu zinatumika kwa usawa kwa wote bila vikwazo,Culture relativism posits that human rights have a cultural origin,Ukilinganishwaji wa kitamaduni unasisitiza kwamba haki za binadamu zina asili ya kitamaduni,Cultural relativism posits that the application of human rights is relative to the laws in each nation,Ukilinganishwaji wa kitamaduni unasisitiza kwamba matumizi ya haki za binadamu yanahusiana na sheria katika kila taifa,Cultural relativism posits that local culture should validate the existence and practice of all human rights,Ukilinganishwaji wa kitamaduni unasisitiza kwamba utamaduni wa wenyeji unapaswa kuthibitisha kuwepo na utendaji wa haki zote za binadamu,D
86,international_law,test,Is recognition of governments prevalent in contemporary international practice?,"Je, utambuzi wa serikali umeenea katika mazoezi ya kisasa ya kimataifa?",Recognition of governments is very prevalent in contemporary practice,Utambuzi wa serikali umeenea sana katika mazoezi ya kisasa,Recognition of governments has largely been replaced by functional Recognition,Utambuzi wa serikali kwa kiasi kikubwa umebadilishwa na Utambuzi wa kiutendaji,Government recognition is common in respect of rebel entities,Utambuzi wa serikali ni jambo la kawaida kwa vikundi vya waasi,Only democratic governments are recognised in contemporary practice,Serikali za kidemokrasia pekee ndizo zinazotambuliwa katika utendaji wa kisasa,B
87,international_law,test,What is the legal nature of the Universal Declaration of Human Rights (UDHR)?,"Je, Universal Declaration of Human Rights (UDHR) ina hali gani ya kisheria?",The UDHR is a multilateral treaty,UDHR ni mkataba wa kimataifa,The UDHR is a UN General Assembly resolution,UDHR ni azimio la Baraza Kuu la UN,The UDHR is a UN Security Council resolution,UDHR ni azimio la Baraza la Usalama la UN,The UDHR is a declaration adopted by several States at an international conference,UDHR ni tamko lililopitishwa na Mataifa kadhaa katika mkutano wa kimataifa,B
88,international_law,test,Under what circumstances do human rights violations taking place outside the territory of ECHR member States fall within the remit of the ECHR?,"Je, ni katika hali gani ukiukaji wa haki za binadamu unaofanyika nje ya eneo la Nchi ambazo ni wanachama wa ECHR unaangukia katika msamaha wa ECHR?",The ECHR applies outside Europe where human rights are violated by ECHR member States abroad,ECHR inatumika nje ya Ulaya ambapo haki za binadamu zinakiukwa na Nchi ambazo ni wanachama wa ECHR walio nje ya nchi,The ECHR applies extraterritorially in circumstances where a member State exercises effective control,ECHR inatumika nje ya nchi katika hali ambapo Nchi mwanachama hutumia udhibiti mzuri,The ECHR applies extraterritorially where a member State has contributed forces to a UN peacekeeping mission,ECHR inatumika nje ya nchi ambapo Nchi mwanachama imechangia nguvu katika ujumbe wa kulinda amani wa UN,The ECHR applies extraterritorially where human rights violations are taking place in former colonies of member States,ECHR inatumika nje ya nchi ambapo ukiukaji wa haki za binadamu unafanyika katika makoloni ya zamani ya nchi wanachama,B
89,international_law,test,What does the principle 'pacta sunt servanda' mean?,Kanuni ya 'pacta sunt servanda' inamaanisha nini?,Parties to a treaty should be cognizant of its terms and not misinterpret them,Wahusika wa mkataba wanapaswa kufahamu masharti yake na sio kuyatafsiri vibaya,Parties to a treaty should safeguard the object and purpose of the treaty,Wahusika wa mkataba wanapaswa kulinda lengo na madhumuni ya mkataba,Parties to a treaty should adhere to its terms in good faith,Wahusika wa mkataba wanapaswa kuzingatia masharti yake kwa nia njema,Parties to a treaty should not violate the most important provisions of the treaty,Wahusika wa mkataba hawapaswi kukiuka masharti muhimu zaidi ya mkataba,C
90,international_law,test,What was the consequence from the absence of implementing legislation in the Tin Council case?,Matokeo ya kukosekana kwa sheria za utekelezaji katika kesi ya Baraza la Tin yalikuwa gani?,The International Tin Council was headquartered in London and hence the absence of implementing legislation was inconsequential,Baraza la Kimataifa la Tin lilikuwa na makao yake makuu huko London na hivyo kutokuwepo kwa sheria ya utekelezaji hakukuwa na maana,The constitutive treaties of international organisations are subject to the doctrine of incorporation,Mikataba ya msingi ya mashirika ya kimataifa iko chini ya kanuni muhimu ya kuingizwa,The absence of implementing legislation with respect to the Council's founding treaty meant that individuals did not derive rights and duties from it in the English legal system,Kutokuwepo kwa utekelezaji wa sheria kuhusiana na mkataba wa mwanzilishi wa Baraza kulimaanisha kwamba watu binafsi hawakupata haki na wajibu kutoka kwayo katika mfumo wa sheria wa Kiingereza,The absence of implementing legislation in England in respect of an international organisation is inconsequential under international law,Kutokuwepo kwa utekelezaji wa sheria nchini Uingereza kuhusiana na shirika la kimataifa hakuna maana chini ya sheria za kimataifa,C
91,international_law,test,Which of the following statements is true?,Ni kauli gani kati ya zifuatazo ni kweli?,The Human Rights Act 1998 incorporates the European Convention on Human Rights into UK law,Sheria ya Haki za Kibinadamu ya 1998 inajumuisha Mkataba wa Ulaya wa Haki za Kibinadamu katika sheria za Uingereza,The Human Rights Act 1998 allows a court to invalidate primary legislation,Sheria ya Haki za Kibinadamu ya 1998 inaruhusu mahakama kubatilisha sheria ya msingi,The Human Rights Act 1998 allows any person with a reasonable case to bring a case before a court,Sheria ya Haki za Kibinadamu ya 1998 inaruhusu mtu yeyote aliye na kesi inayofaa kuwasilisha kesi mahakamani,The Human Rights Act 1998 incorporates the EU charter of fundamental rights into UK law,Sheria ya Haki za Kibinadamu ya 1998 inajumuisha katiba ya Umoja wa Ulaya ya haki za kimsingi katika sheria za Uingereza,A
92,international_law,test,What forms may the obligation of reparation take?,"Je, ni aina gani wajibu wa fidia unaweza kuchukua?","Reparation may take only the form of pecuniary compensation, including the interest","Fidia inaweza kuchukua tu aina ya fidia ya kifedha, ikiwa ni pamoja na riba",Reparation denotes only the physical restitution of the wrongful act,Fidia inaashiria tu urejeshaji wa kimwili wa kitendo kisicho sahihi,"Reparation includes restitution, compensation, and satisfaction, either alone or alongside other forms of reparation","Fidia inajumuisha urejeshaji, fidia, na kuridhika, huenda ukawa peke yake au pamoja na aina nyingine za fidia",The form of reparation is a matter for the responsible State to decide,Aina ya fidia ni suala la Serikali inayohusika kuamua,C
94,international_law,test,What is 'unilateral acts'?,Sheria zilizopendekezwa za upande mmoja' ni nini?,They are acts that States perform as practice in the context of custom,Ni sheria zilizopendekezwa ambazo Mataifa hufanya kama mazoezi katika muktadha wa desturi,They are acts creating unilateral legal obligations to the acting State,Ni sheria zilizopendekezwa zinazounda wajibu wa kisheria wa upande mmoja kwa Nchi inayokaimu,Unilateral acts are simply political acts of State devoid of any legal effect,Sheria zilizopendekezwa za upande mmoja ni sheria za kisiasa za Serikali zisizo na athari yoyote ya kisheria,Unilateral acts are those that State perform in order to be bound by a treaty,Sheria zilizopendekezwa za upande mmoja ni zile ambazo Serikali hufanya ili kufungwa katika mkataba,B
