question	choices	answer	subject	command_r	prompt
Nakahe kamaro kokujyira ubudahangarwa?	"[""Intego y'ubudahangarwa ni ukurinda abakuru b'ibihugu by'amahanga gukozwa isoni"", 'Ubudahangarwa burinda igihugu kugaba igitero ku kindi', ""Ubudahangarwa burinda ibihugu kuregerwa mu nkiko z'ibindi bihugu "", ""Intego y'ubudahangarwa ni ugutanga ubudahangarwa ku byaha byose""]"	C	international_law	C)Ubudahangarwa burinda ibihugu kuregerwa mu nkiko z'ibindi bihugu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Nakahe kamaro kokujyira ubudahangarwa?
 A)Intego y'ubudahangarwa ni ukurinda abakuru b'ibihugu by'amahanga gukozwa isoni B)Ubudahangarwa burinda igihugu kugaba igitero ku kindi C)Ubudahangarwa burinda ibihugu kuregerwa mu nkiko z'ibindi bihugu  D)Intego y'ubudahangarwa ni ugutanga ubudahangarwa ku byaha byose"
Ububasha bwubucyamanza nubuhe ?	"[""Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'uwakoze icyaha"", 'Ububasha bwayo bushingiye ku gace icyaha cyakorewemo ', ""Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'abahohotewe  "", ""Ni ubutabera bushingiye ku gihugu aho umuntu wemewe n'amategeko yanditswe""]"	C	international_law	B)Ububasha bwayo bushingiye ku gace icyaha cyakorewemo	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ububasha bwubucyamanza nubuhe ?
 A)Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'uwakoze icyaha B)Ububasha bwayo bushingiye ku gace icyaha cyakorewemo  C)Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'abahohotewe   D)Ni ubutabera bushingiye ku gihugu aho umuntu wemewe n'amategeko yanditswe"
Nubuhe buryo bw'uburenganzira  bwasobanuwe nk'uburenganzira bwa mbere?	"[""Uburenganzira mu by'imibereho n'ubukungu"", ""Uburenganzira bwa muntu n'ubwa politiki"", ""Uburenganzira mu by'umuco "", ""Uburenganzira bw'abaturage ""]"	B	international_law	Uburenganzira mu by'umuco	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Nubuhe buryo bw'uburenganzira  bwasobanuwe nk'uburenganzira bwa mbere?
 A)Uburenganzira mu by'imibereho n'ubukungu B)Uburenganzira bwa muntu n'ubwa politiki C)Uburenganzira mu by'umuco  D)Uburenganzira bw'abaturage "
Nikihe kibazo cyo gucamo ibice amategeko mpuzamahanga?	"[""Gucikamo ibice kw'amategeko mpuzamahanga bireba ubushobozi bw'ubutegetsi butandukanye bw'amategeko bwo gushyira mu bikorwa amategeko amwe y'amategeko mpuzamahanga"", ""Birashoboka ko gahunda nyinshi z'amategeko (ni ukuvuga amategeko agenga ishoramari ry'abanyamahanga n'amategeko agenga uburenganzira bw'ikiremwamuntu) zibaho kandi zigatera imbere mu buryo bwitandukanyije, amaherezo bigatuma habaho amategeko atandukanye y'amategeko mpuzamahanga"", ""Gucikamo ibice ni igihe ibihugu bifata ibisobanuro bitandukanye by'itegeko rimwe ry'amategeko mpuzamahanga "", ""Gucikamo ibice ni igihe ibihugu bitavuga rumwe mukubahiriza ihame runaka ry'amategeko mpuzamahanga""]"	B	international_law	B)Birashoboka ko gahunda nyinshi z'amategeko (ni ukuvuga amategeko agenga ishoramari ry'abanyamahanga n'amategeko agenga uburenganzira bw'ikiremwamuntu) zibaho kandi zigatera imbere mu buryo bwitandukanyije	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Nikihe kibazo cyo gucamo ibice amategeko mpuzamahanga?
 A)Gucikamo ibice kw'amategeko mpuzamahanga bireba ubushobozi bw'ubutegetsi butandukanye bw'amategeko bwo gushyira mu bikorwa amategeko amwe y'amategeko mpuzamahanga B)Birashoboka ko gahunda nyinshi z'amategeko (ni ukuvuga amategeko agenga ishoramari ry'abanyamahanga n'amategeko agenga uburenganzira bw'ikiremwamuntu) zibaho kandi zigatera imbere mu buryo bwitandukanyije C)amaherezo bigatuma habaho amategeko atandukanye y'amategeko mpuzamahanga D)Gucikamo ibice ni igihe ibihugu bifata ibisobanuro bitandukanye by'itegeko rimwe ry'amategeko mpuzamahanga "
gutanga uburenganzira bisobanuye iki ?	"[""Kwemeza ko Inama y'Umutekano yemeje ko ingabo zikoreshwa mu gihe Leta yaburiwe mbere y'igihe"", ""Kwemererwa ku bwumvikane hashingiwe ku mubare runaka w'amajwi y'abanyamuryango ba UNSC"", ""Gufata umwanzuro w'uko ibitero byose binyuranyije n'amategeko bizakoreshwa intwaro hakurikijwe icyemezo cy'Inama y'Umutekano y'Umuryango w'Abibumbye "", ""Mu gihe habaye ibitero by'ibinyuranye n'amategeko, Akanama k'Umuryango w'Abibumbye Gashinzwe Amahoro ku Isi gategeka ibihugu bituranyi gufata ingamba zose zisabwa kugira ngo bikosore ikibazo.""]"	A	international_law	C)Gufata umwanzuro w'uko ibitero byose binyuranyije n'amategeko bizakoreshwa intwaro hakurikijwe icyemezo cy'Inama y'Umutekano y'Umuryango w'Abibumbye	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: gutanga uburenganzira bisobanuye iki ?
 A)Kwemeza ko Inama y'Umutekano yemeje ko ingabo zikoreshwa mu gihe Leta yaburiwe mbere y'igihe B)Kwemererwa ku bwumvikane hashingiwe ku mubare runaka w'amajwi y'abanyamuryango ba UNSC C)Gufata umwanzuro w'uko ibitero byose binyuranyije n'amategeko bizakoreshwa intwaro hakurikijwe icyemezo cy'Inama y'Umutekano y'Umuryango w'Abibumbye  D)Mu gihe habaye ibitero by'ibinyuranye n'amategeko"
Ninde mufilozofe yise igitekerezo cyuburenganzira bwa muntu 'ubuswa kuri stil'?	['Alan Gerwith', 'Emmanuel Kant', 'John Locke ', 'Jeremy Bentham']	D	international_law	B)Emmanuel Kant	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ninde mufilozofe yise igitekerezo cyuburenganzira bwa muntu 'ubuswa kuri stil'?
 A)Alan Gerwith B)Emmanuel Kant C)John Locke  D)Jeremy Bentham"
Ninde ufite ububasha  bwo kugirana amasezerano n'ibihugu?	"[""Amasezerano ashyirwaho n'abahagarariye ibihugu babifitiye ububasha. Abakuru b'Ibihugu, abakuru ba za Guverinoma, abaminisitiri b'ububanyi n'amahanga n'abakuru b'ibiro bya dipolomasi bafatwa nk'abafite ubwo bubasha "", ""Amasezerano ashobora kuganirwaho kandi agashyirwaho gusa n'abakuru b'ibihugu na ba minisitiri b'ububanyi n'amahanga"", 'Amasezerano ashyirwaho umukono kandi agashyirwaho umukono n\'abantu bafite ""ububasha busesuye"" bukenewe kandi nta muntu n\'umwe ufatwa nk\'ufite ubwo bubasha ', ""Amasezerano ashyirwaho gusa n'abakozi b'intumwa za Leta zunze ubumwe z'Amerika""]"	A	international_law	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ninde ufite ububasha  bwo kugirana amasezerano n'ibihugu?
 A)Amasezerano ashyirwaho n'abahagarariye ibihugu babifitiye ububasha. Abakuru b'Ibihugu B)abakuru ba za Guverinoma C)abaminisitiri b'ububanyi n'amahanga n'abakuru b'ibiro bya dipolomasi bafatwa nk'abafite ubwo bubasha  D)Amasezerano ashobora kuganirwaho kandi agashyirwaho gusa n'abakuru b'ibihugu na ba minisitiri b'ububanyi n'amahanga"
Ninde ukomeza guteza urwango? 	"['Leta ikomeje kwamagana ihame rivugwa nyuma yo gushyirwaho', ""Leta ihakana ko itegetswe n'iri tegeko mu gihe gito"", ""Leta ihora irwanya kandi ku mugaragaro ishyirwaho ry'itegeko ry'umuco kuva mu ntangiriro "", ""Leta yemera ko hashyirwaho itegeko ry'amategeko gakondo ariko igakomeza kwamagana ibiyirimo""]"	C	international_law	C) Leta ihora irwanya kandi ku mugaragaro ishyirwaho ry'itegeko ry'umuco kuva mu ntangiriro	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ninde ukomeza guteza urwango? 
 A)Leta ikomeje kwamagana ihame rivugwa nyuma yo gushyirwaho B)Leta ihakana ko itegetswe n'iri tegeko mu gihe gito C)Leta ihora irwanya kandi ku mugaragaro ishyirwaho ry'itegeko ry'umuco kuva mu ntangiriro  D)Leta yemera ko hashyirwaho itegeko ry'amategeko gakondo ariko igakomeza kwamagana ibiyirimo"
Umutekano rusange bivuze iki ?	"[""Uburenganzira bwo kwirwanaho bw'ibihugu birenze kimwe bikorera hamwe"", ""Uburenganzira bw'abafatanyabikorwa b'umuntu bwo kurwanirira igihugu cyabazwe"", ""Ububasha bw'ingabo z'igihugu cy'Ubwongereza "", ""Amategeko agenga ibikorwa byo kubungabunga amahoro yatanzwe n'Inteko rusange y'Umuryango w'Abibumbye""]"	C	international_law	D)Amategeko agenga ibikorwa byo kubungabunga amahoro yatanzwe n'Inteko rusange y'Umuryango w'Abibumbye.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Umutekano rusange bivuze iki ?
 A)Uburenganzira bwo kwirwanaho bw'ibihugu birenze kimwe bikorera hamwe B)Uburenganzira bw'abafatanyabikorwa b'umuntu bwo kurwanirira igihugu cyabazwe C)Ububasha bw'ingabo z'igihugu cy'Ubwongereza  D)Amategeko agenga ibikorwa byo kubungabunga amahoro yatanzwe n'Inteko rusange y'Umuryango w'Abibumbye"
Amasezerano y'uburayi yuburenganzira bwa muntu ahanini yita kuri kimwe muri ibi bikurikira .	"[""Uburenganzira mu by'ubukungu n'imibereho myiza"", ""Uburenganzira bw' ubidukikije "", ""Uburenganzira bwa muntu n'ubwa politiki "", ""Ubwigenge mu by'ubukungu ""]"	C	international_law	Uburenganzira bw' ubidukikije	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Amasezerano y'uburayi yuburenganzira bwa muntu ahanini yita kuri kimwe muri ibi bikurikira .
 A)Uburenganzira mu by'ubukungu n'imibereho myiza B)Uburenganzira bw' ubidukikije  C)Uburenganzira bwa muntu n'ubwa politiki  D)Ubwigenge mu by'ubukungu "
Ese ububasha bw'inkiko mpuzamahanga  bugengwa n'amahame amwe akurikizwa  mu nkiko zigihugu ?	"[""Amahame agenga ubutabera akoreshwa mu nkiko z'igihugu ni na yo akurikizwa mu nkiko mpuzamahanga"", ""Ububasha bw'inkiko mpuzamahanga zose bugengwa n'Akanama k'Umutekano ka Loni"", ""Urukiko mpuzamahanga rusangamo amwe mu mahame agenga ubucamanza akoreshwa n'inkiko z'igihugu, ariko si yose "", ""Ububasha bw'inkiko mpuzamahanga bugenwa gusa n'amasezerano y'ishingwa ryazo""]"	D	international_law	D)ariko si yose.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ese ububasha bw'inkiko mpuzamahanga  bugengwa n'amahame amwe akurikizwa  mu nkiko zigihugu ?
 A)Amahame agenga ubutabera akoreshwa mu nkiko z'igihugu ni na yo akurikizwa mu nkiko mpuzamahanga B)Ububasha bw'inkiko mpuzamahanga zose bugengwa n'Akanama k'Umutekano ka Loni C)Urukiko mpuzamahanga rusangamo amwe mu mahame agenga ubucamanza akoreshwa n'inkiko z'igihugu D)ariko si yose "
uburenganzira rusange bivuze iki?	"[""Uburenganzira rusange ni ubw'abantu ku giti cyabo"", ""Uburenganzira rusange ni uburenganzira bw'itsinda runaka aho kuba ubw'umuntu ku giti cye "", ""Uburenganzira bw'abantu bake ni uburenganzira rusange  "", ""Uburenganzira bw'itsinda burimo uburenganzira bw'itsinda ubwaryo ndetse n'uburenganzira bwa buri wese mu bagize itsinda""]"	B	international_law	Uburenganzira rusange ni uburenganzira bw'itsinda runaka aho kuba ubw'umuntu ku giti cye.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: uburenganzira rusange bivuze iki?
 A)Uburenganzira rusange ni ubw'abantu ku giti cyabo B)Uburenganzira rusange ni uburenganzira bw'itsinda runaka aho kuba ubw'umuntu ku giti cye  C)Uburenganzira bw'abantu bake ni uburenganzira rusange   D)Uburenganzira bw'itsinda burimo uburenganzira bw'itsinda ubwaryo ndetse n'uburenganzira bwa buri wese mu bagize itsinda"
Ese ibihugu bifite inshingano  iyo bikora inishyikirano ?	"[""Ibihugu nta nshingano bifite ku bijyanye n'uburyo bikora imishyikirano"", 'Ibihugu bifite inshingano yo kwitwara mu buryo butuma imishyikirano igira icyo igeraho', ""Ibihugu bifite inshingano yo gushaka umuti w'amakimbirane igihe cyose bigiranye ibiganiro "", ""Ibihugu bifite inshingano yo kumenyesha Umunyamabanga Mukuru w'Umuryango w'Abibumbye uko imishyikirano igenda ""]"	B	international_law	C)Ibihugu bifite inshingano yo gushaka umuti w'amakimbirane igihe cyose bigiranye ibiganiro	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ese ibihugu bifite inshingano  iyo bikora inishyikirano ?
 A)Ibihugu nta nshingano bifite ku bijyanye n'uburyo bikora imishyikirano B)Ibihugu bifite inshingano yo kwitwara mu buryo butuma imishyikirano igira icyo igeraho C)Ibihugu bifite inshingano yo gushaka umuti w'amakimbirane igihe cyose bigiranye ibiganiro  D)Ibihugu bifite inshingano yo kumenyesha Umunyamabanga Mukuru w'Umuryango w'Abibumbye uko imishyikirano igenda "
Ni irihe tandukaniro  rikomeye riri hagati ya naturiste na positivism	"[""Ku ruhande rumwe, naturalisme ishingiye ku mategeko y'ibanze kandi afite intego, ku rundi ruhande, positivisme ishingiye ku buryo bw'amategeko bufite imiterere n'ubwumvikane butangwa n'ibihugu bitewe n'inyungu n'ibyifuzo byabyo"", ""Mu gihe naturalisme ikora gusa mu rwego rw'itegeko ry'uburenganzira bwa muntu, positivisme ifite urwego rwagutse kandi rusange"", ""Naturalisme ireba indangagaciro z'umuryango mpuzamahanga, mu gihe positivisme ari amategeko mpuzamahanga nk'uko "", ""Naturalisme ni ishuri ry'ibitekerezo ryashyigikiwe hanze y'Uburayi, mu gihe positivisme ari inyigisho yo mu Burayi""]"	A	international_law	C) ku rundi ruhande	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ni irihe tandukaniro  rikomeye riri hagati ya naturiste na positivism
 A)Ku ruhande rumwe B)naturalisme ishingiye ku mategeko y'ibanze kandi afite intego C)ku rundi ruhande D)positivisme ishingiye ku buryo bw'amategeko bufite imiterere n'ubwumvikane butangwa n'ibihugu bitewe n'inyungu n'ibyifuzo byabyo"
Imyitwarire idakwiye ku rwego mpuzamahanga niki ?	"[""Imyitwarire itemewe n'amategeko mpuzamahanga ni igikorwa cyangwa uburangare binyuranyije n'itegeko ry'amategeko mpanabyaha mpuzamahanga"", 'Imyitwarire idahwitse ku rwego mpuzamahanga ni ukurenga ku nshingano mpuzamahanga ya Leta yose, yaba itegetswe cyangwa itegetswe', ""Imyitwarire idahwitse ku rwego mpuzamahanga igizwe n'igikorwa cyangwa uburangare bugaragarira Leta, bikaba ari ukurenga ku nshingano mpuzamahanga ya Leta "", ""Imyitwarire itemewe n'amategeko mpuzamahanga ni imyitwarire idashobora kubabarirwa ku mpamvu z'ibisabwa, imbaraga zidasanzwe, n'ibindi. ""]"	C	international_law	D) Imyitwarire idahwitse ku rwego mpuzamahanga igizwe n'igikorwa cyangwa uburangare bugaragarira Leta.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Imyitwarire idakwiye ku rwego mpuzamahanga niki ?
 A)Imyitwarire itemewe n'amategeko mpuzamahanga ni igikorwa cyangwa uburangare binyuranyije n'itegeko ry'amategeko mpanabyaha mpuzamahanga B)Imyitwarire idahwitse ku rwego mpuzamahanga ni ukurenga ku nshingano mpuzamahanga ya Leta yose C)yaba itegetswe cyangwa itegetswe D)Imyitwarire idahwitse ku rwego mpuzamahanga igizwe n'igikorwa cyangwa uburangare bugaragarira Leta"
Nizihe ngaruka zinyigisho ?	"['Ivuga ko ubucamanza bubaho gusa igihe ari ingirakamaro', ""Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza Leta ifitanye isano nyakuri n'imyitwarire yangiza"", ""Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza igihugu gifite ubwenegihugu nk'ubw'uwakoze icyaha "", ""Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza igihugu aho imyitwarire igira ingaruka""]"	D	international_law	C) Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza igihugu gifite ubwenegihugu nk'ubw'uwakoze icyaha	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Nizihe ngaruka zinyigisho ?
 A)Ivuga ko ubucamanza bubaho gusa igihe ari ingirakamaro B)Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza Leta ifitanye isano nyakuri n'imyitwarire yangiza C)Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza igihugu gifite ubwenegihugu nk'ubw'uwakoze icyaha  D)Inyigisho y'ingaruka igamije guha ububasha bw'ubucamanza igihugu aho imyitwarire igira ingaruka"
Ni abahe bantu bafatwa nk;inzego za 'de facto' z'igihugu hakurikijwe amategeko mpuzamahanga ?	"[""Inzego za de facto' ni abantu bahawe ububasha n'amategeko bwo gukora mu nzego z'ubutegetsi "", ""Inzego de facto' ni abantu, mu by'ukuri, bakora ku mabwiriza y'icyo gihugu, cyangwa bayobowe na cyo cyangwa bagenzurwa na cyo mu gihe bakora ibikorwa bishobora gushinjwa icyo gihugu"", ""Inzego de facto' ni inzego za Leta de jure zikorera nta bubasha zifite cyangwa ultra vires "", 'Inzego z\'ibanze"" ni inzego, ibikorwa cyangwa kudakora kwazo bidashobora kwitirirwa Leta']"	B	international_law	A) Inzego za de facto' ni abantu bahawe ububasha n'amategeko bwo gukora mu nzego z'ubutegesi	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ni abahe bantu bafatwa nk;inzego za 'de facto' z'igihugu hakurikijwe amategeko mpuzamahanga ?
 A)Inzego za de facto' ni abantu bahawe ububasha n'amategeko bwo gukora mu nzego z'ubutegetsi  B)Inzego de facto' ni abantu C)mu by'ukuri D)bakora ku mabwiriza y'icyo gihugu"
Ni ikihe kintu cy'ibanze gisabwa kugira ngo hashyiirwemo imigenzo hakurikijwe amategeko y'ubwongereza ?	"[""Umuco w'umuco urashyizwe mu bikorwa niba utavuguruzanya n'amategeko ahari"", ""Imigenzo ni yo iruta amategeko y'Abongereza kandi buri gihe iba yashyizwe mu mategeko"", ""Umuco ugomba kubanza kwemerwa n'Inteko Ishinga Amategeko mbere y'uko inkiko zishobora kuwushyira mu rwego rw'igihugu "", ""Imigenzo yashyizwe mu bikorwa n'itegeko ryubutegetsi ""]"	A	international_law	C)Umuco ugomba kubanza kwemerwa n'Inteko Ishinga Amategeko mbere y'uko inkiko zishobora kuwushyira mu rwego rw'igihugu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Ni ikihe kintu cy'ibanze gisabwa kugira ngo hashyiirwemo imigenzo hakurikijwe amategeko y'ubwongereza ?
 A)Umuco w'umuco urashyizwe mu bikorwa niba utavuguruzanya n'amategeko ahari B)Imigenzo ni yo iruta amategeko y'Abongereza kandi buri gihe iba yashyizwe mu mategeko C)Umuco ugomba kubanza kwemerwa n'Inteko Ishinga Amategeko mbere y'uko inkiko zishobora kuwushyira mu rwego rw'igihugu  D)Imigenzo yashyizwe mu bikorwa n'itegeko ryubutegetsi "
Gukoresha ingufu za gisirikare byari byemewe mbere y'amasezerano y'umuryango w'abibumbye ?	"[""Imbaraga z'intambara zari zarabuzanyijwe "", ""Imbaraga z'intambara zari zemerewe nta nkomyi"", 'Imbaraga zikoreshwa mu ntambara zari zemerewe, ariko zigakoreshwa mu bintu bike gusa ', ""Imbaraga z'ingabo ntizari zifite amategeko mpuzamahanga azigenga mbere y'umwaka wa 1945""]"	C	international_law	C)Imbaraga zikoreshwa mu ntambara zari zemerewe	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Gukoresha ingufu za gisirikare byari byemewe mbere y'amasezerano y'umuryango w'abibumbye ?
 A)Imbaraga z'intambara zari zarabuzanyijwe  B)Imbaraga z'intambara zari zemerewe nta nkomyi C)Imbaraga zikoreshwa mu ntambara zari zemerewe D)ariko zigakoreshwa mu bintu bike gusa "
N'irihe hame ryo kurinda ububasha ?	"[""Ni ubutabera bushingiye ku ngaruka zangiza inyungu z'igihugu ziterwa n'ibikorwa byakorewe mu mahanga"", 'Ni ubucamanza mu rwego rwo kurinda abenegihugu mu mahanga', ""Ni ubucamanza mu rwego rwo kurengera uburenganzira bw'ikiremwamuntu mpuzamahanga "", ""Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'uwakoze icyaha""]"	A	international_law	C)Ni ubucamanza mu rwego rwo kurengera uburenganzira bw'ikiremwamuntu mpuzamahanga	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: N'irihe hame ryo kurinda ububasha ?
 A)Ni ubutabera bushingiye ku ngaruka zangiza inyungu z'igihugu ziterwa n'ibikorwa byakorewe mu mahanga B)Ni ubucamanza mu rwego rwo kurinda abenegihugu mu mahanga C)Ni ubucamanza mu rwego rwo kurengera uburenganzira bw'ikiremwamuntu mpuzamahanga  D)Ubucamanza bufite ububasha bushingiye ku bwenegihugu bw'uwakoze icyaha"
Nayahe mumagambo akurikira ari ukuri ?	"[""Inama y'u Burayi yashinzwe mu mwaka wa 1950 kandi igizwe n'ibihugu 27 bigize uwo muryango"", ""Inama y'u Burayi yashinzwe mu mwaka wa 1949 kandi igizwe n'ibihugu 47"", ""Inama y'u Burayi yashinzwe mu mwaka wa 1959 kandi igizwe n'ibihugu 34  "", ""Inama y'u Burayi yashinzwe mu mwaka wa 1984 kandi igizwe n'ibihugu 19 bigize uwo muryango""]"	B	international_law	B)Inama y'u Burayi yashinzwe mu mwaka wa 1949 kandi igizwe n'ibihugu 47	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Nayahe mumagambo akurikira ari ukuri ?
 A)Inama y'u Burayi yashinzwe mu mwaka wa 1950 kandi igizwe n'ibihugu 27 bigize uwo muryango B)Inama y'u Burayi yashinzwe mu mwaka wa 1949 kandi igizwe n'ibihugu 47 C)Inama y'u Burayi yashinzwe mu mwaka wa 1959 kandi igizwe n'ibihugu 34   D)Inama y'u Burayi yashinzwe mu mwaka wa 1984 kandi igizwe n'ibihugu 19 bigize uwo muryango"
N'ikihe gisubizo gihwanye  mu mategeko no mu bikorwa byo gutandukanya amazi ?	"['Ni bwo buryo bwonyine bwo gushinga imipaka inkiko mpuzamahanga zikurikiza', ""Umwanzuro w'uburinganire ni icyo umucamanza cyangwa umuhesha w'inkiko yahitamo ex aequo et bono, ni ukuvuga ku bushake bwabo kandi bakurikije ibyo babona ko bikwiriye kandi bikwiriye mu rubanza rwo gutandukanya imbibi "", 'Ni umusaruro wa nyuma ko imipaka yose y\'ibice by\'ibice by\'ubutaka n\'ibice by\'ubukungu bw\'isi igomba kugerwaho, ariko nyuma yo gushushanya ""umurongo w\'uburinganire"" w\'agateganyo no guhuza agace ukurikije imimerere ihari n\'igenzura ry\'uburinganire. ', 'Kugera ku musaruro ukwiriye ni uburyo bwa kera bwo gutandukanya ubu butacyakoreshwa']"	C	international_law	C)ni ukuvuga ku bushake bwabo kandi bakurikije ibyo babona ko bikwiriye kandi bikwiriye mu rubanza rwo gutandukanya imbibi	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: N'ikihe gisubizo gihwanye  mu mategeko no mu bikorwa byo gutandukanya amazi ?
 A)Ni bwo buryo bwonyine bwo gushinga imipaka inkiko mpuzamahanga zikurikiza B)Umwanzuro w'uburinganire ni icyo umucamanza cyangwa umuhesha w'inkiko yahitamo ex aequo et bono C)ni ukuvuga ku bushake bwabo kandi bakurikije ibyo babona ko bikwiriye kandi bikwiriye mu rubanza rwo gutandukanya imbibi  D)Ni umusaruro wa nyuma ko imipaka yose y\'ibice by\'ibice by\'ubutaka n\'ibice by\'ubukungu bw\'isi igomba kugerwaho"
Gusebanya ni iki ?	"[""Gutandukana ni ukwirengagiza inshingano zihariye zirebana n'uburenganzira bwa muntu zikubiye mu masezerano"", ""Ikinyuranyo cyerekeza ku bushobozi bw'abafite uburenganzira bwo kugeza ikirego kuri Leta kubera kutubahiriza inshingano"", 'Leta ishobora guhagarika uburenganzira bwihariye binyuze mu buryo bwo gutandukana mu bihe bishobora gushyira ubuzima bwayo mu kaga ', ""Amategeko atandukana n'amategeko ni ingingo z'itegeko mu masezerano arebana n'uburenganzira bwa muntu ""]"	C	international_law	C)Leta ishobora guhagarika uburenganzira bwihariye binyuze mu buryo bwo gutandukana mu bihe bishobora gushyira ubuzima bwayo mu kaga	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Gusebanya ni iki ?
 A)Gutandukana ni ukwirengagiza inshingano zihariye zirebana n'uburenganzira bwa muntu zikubiye mu masezerano B)Ikinyuranyo cyerekeza ku bushobozi bw'abafite uburenganzira bwo kugeza ikirego kuri Leta kubera kutubahiriza inshingano C)Leta ishobora guhagarika uburenganzira bwihariye binyuze mu buryo bwo gutandukana mu bihe bishobora gushyira ubuzima bwayo mu kaga  D)Amategeko atandukana n'amategeko ni ingingo z'itegeko mu masezerano arebana n'uburenganzira bwa muntu "
Bisobanuye iki guhuza umuco ?	"[""Gushyira mu gaciro mu by'umuco bivuga ko uburenganzira bwa muntu bukoreshwa kimwe kuri bose nta mbogamizi"", ""Ivangura rishingiye ku muco ryemeza ko uburenganzira bw'ikiremwamuntu bufite inkomoko mu muco"", ""Imyemerere y'uko uburenganzira bw'ikiremwamuntu bufite aho buhuriye n'amategeko agenga buri gihugu "", ""Imyemerere y'umuco ivuga ko umuco wo mu gace runaka wagombye kwemeza ko uburenganzira bw'ikiremwamuntu bubaho kandi bukagerwaho""]"	D	international_law	C)Imyemerere y'uko uburenganzira bw'ikiremwamuntu bufite aho buhuriye n'amategeko agenga buri gihugu	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about international_law. Return the correct option only
user: Bisobanuye iki guhuza umuco ?
 A)Gushyira mu gaciro mu by'umuco bivuga ko uburenganzira bwa muntu bukoreshwa kimwe kuri bose nta mbogamizi B)Ivangura rishingiye ku muco ryemeza ko uburenganzira bw'ikiremwamuntu bufite inkomoko mu muco C)Imyemerere y'uko uburenganzira bw'ikiremwamuntu bufite aho buhuriye n'amategeko agenga buri gihugu  D)Imyemerere y'umuco ivuga ko umuco wo mu gace runaka wagombye kwemeza ko uburenganzira bw'ikiremwamuntu bubaho kandi bukagerwaho"
